variable,estimate,std_error,ci_lower,ci_upper
Intercept,20.30682720404958,2.850842835671992,14.719175246132474,25.894479161966686
NREGS[T.0],-5.287050416382654,2.3331265263873173,-9.859978408101796,-0.714122424663513
NREGS[T.1],1.348708993570317,2.6472477878146004,-3.8398966705463,6.537314657686934
NREGS[T.2],5.023279681313862,2.4013970375461557,0.31654148772339674,9.730017874904327
NREGS[T.3],4.087463820264438,2.3629346387429386,-0.5438880716717218,8.718815712200598
NREGS[T.4],4.261003449519183,2.4473018661634844,-0.5357082081612461,9.057715107199613
NREGS[T.5],7.8939325744588915,2.5236034820238085,2.947669749692227,12.840195399225557
NREGS[T.6],7.74672621285251,2.940540449749801,1.9832669313429,13.51018549436212
NREGS[T.7],7.614022772479174,3.2467390071799933,1.2504143184063876,13.97763122655196
NREGS[T.8],18.403752237542243,15.864206273125859,-12.69009205778444,49.497596532868926
treated,-3.3362682073779304,1.4100826177429553,-6.100030138154123,-0.5725062766017381
post,-1.4322757028898294,1.6086393070936233,-4.585208744793331,1.7206573390136721
did,3.095280129539402,1.7300423661637216,-0.29560290814149237,6.486163167220297
CHAIN,-0.42325650346932625,0.3187241085495844,-1.0479557562265116,0.20144274928785916
CO_OWNED,-2.611192909101111,0.719903773563123,-4.0222043052848315,-1.2001815129173898
